key,value,date
ClimbOnMe,30,11/19/10
ClimbOnMe,20,2/19/10
ClimbOnMe,29,12/15/07
ClimbOnMe,0,2/19/05
ClimbOnMe,0,3/4/04
ClimbOnMe,0,8/23/02
ClimbOnMe,0,7/17/99
ClimbOnMe,1,7/5/96
PlayStart,24,11/19/10
PlayStart,4,2/19/10
PlayStart,18,12/15/07
PlayStart,33,2/19/05
PlayStart,25,3/4/04
PlayStart,17,8/23/02
PlayStart,5,7/17/99
PlayStart,8,7/5/96
MoveAway,3,11/19/10
MoveAway,1,2/19/10
MoveAway,15,12/15/07
MoveAway,16,2/19/05
MoveAway,2,3/4/04
MoveAway,2,8/23/02
MoveAway,0,7/17/99
MoveAway,0,7/5/96
GroomMe,0,11/19/10
GroomMe,0,2/19/10
GroomMe,4,12/15/07
GroomMe,16,2/19/05
GroomMe,3,3/4/04
GroomMe,1,8/23/02
GroomMe,5,7/17/99
GroomMe,1,7/5/96
GrabOn,7,11/19/10
GrabOn,23,2/19/10
GrabOn,4,12/15/07
GrabOn,2,2/19/05
GrabOn,0,3/4/04
GrabOn,4,8/23/02
GrabOn,20,7/17/99
GrabOn,0,7/5/96
GGRubStart,4,11/19/10
GGRubStart,1,2/19/10
GGRubStart,8,12/15/07
GGRubStart,14,2/19/05
GGRubStart,5,3/4/04
GGRubStart,10,8/23/02
GGRubStart,8,7/17/99
GGRubStart,20,7/5/96
FollowAhead,0,11/19/10
FollowAhead,1,2/19/10
FollowAhead,1,12/15/07
FollowAhead,2,2/19/05
FollowAhead,0,3/4/04
FollowAhead,0,8/23/02
FollowAhead,0,7/17/99
FollowAhead,0,7/5/96
